"date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type",year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
"19791214,1979,79051,USA,NTS,ISC,37.1,-116.1,0,0,0.205,0,20,WR,AZUL,SHAFT",1979,79051,USA,NTS,ISC,37.1,-116.1,0,0,0.205,0,20,WEAPONS TESTING,AZUL,UNDERGROUND
"19810716,1981,81021,USA,NTS,ISC,37.1,-116,0,0,0.204,0,20,WR,PINEAU,SHAFT",1981,81021,USA,NTS,ISC,37.1,-116,0,0,0.204,0,20,WEAPONS TESTING,PINEAU,UNDERGROUND
"19580516,1958,58022,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.2,9,9,WE,WAHOO,UW",1958,58022,USA,ENEWETAK,DOE,11.3,162.15,0,0,0.2,9,9,EFFECT TESTING,WAHOO,UNDERWATER
"19611213,1961,61069,USA,NTS,DOE,37,-116,3.4,0,0.2,0.5,0.5,WR,MAD,SHAFT",1961,61069,USA,NTS,DOE,37,-116,3.4,0,0.2,0.5,0.5,WEAPONS TESTING,MAD,UNDERGROUND
"19620208,1962,62005,USA,NTS,DOE,37,-116,4.3,0,0.2,3.07,3.07,WR,STILLWATER,SHAFT",1962,62005,USA,NTS,DOE,37,-116,4.3,0,0.2,3.07,3.07,WEAPONS TESTING,STILLWATER,UNDERGROUND
"19620414,1962,62022,USA,NTS,DOE,37,-116,4.6,0,0.2,1.85,1.85,WR,PLATTE,TUNNEL",1962,62022,USA,NTS,DOE,37,-116,4.6,0,0.2,1.85,1.85,WEAPONS TESTING,PLATTE,UNDERGROUND
"19680314,1968,68009,USA,NTS,DOE,37,-116,0,0,0.2,1.5,1.5,WR,POMMARD,SHAFT",1968,68009,USA,NTS,DOE,37,-116,0,0,0.2,1.5,1.5,WEAPONS TESTING,POMMARD,UNDERGROUND
"19790908,1979,79035,USA,NTS,ISC,37.15,-116.04,0,0,0.2,0,20,WR,PERA,SHAFT",1979,79035,USA,NTS,ISC,37.15,-116.04,0,0,0.2,0,20,WEAPONS TESTING,PERA,UNDERGROUND
"19810805,1981,81025,USA,NTS,ISC,37.2,-116,0,0,0.2,0,20,WR,HAVARTI,SHAFT",1981,81025,USA,NTS,ISC,37.2,-116,0,0,0.2,0,20,WEAPONS TESTING,HAVARTI,UNDERGROUND
"19620219,1962,62008,USA,NTS,DOE,37,-116,3.9,0,0.15,1.9,1.9,WR,CHINCHILLA,SHAFT",1962,62008,USA,NTS,DOE,37,-116,3.9,0,0.15,1.9,1.9,WEAPONS TESTING,CHINCHILLA,UNDERGROUND
